semester_raw,anon_student_id,midterm,score_group,active_days,last3_share,last7_share,concentration_hhi
F21,97,mid2,Q4 highest,8,0.6589887640449439,0.7365168539325844,0.24947907461179145
F21,99,mid1,Q1 lowest,24,0.3141001623579368,0.45784938179093293,0.08666572175847943
F21,99,mid2,Q1 lowest,21,0.3609610300034487,0.4946545579951719,0.1659435890144704
F21,103,mid2,Q1 lowest,8,0.1105121293800539,0.21024258760107817,0.2242508490283499
F21,104,mid1,Q1 lowest,16,0.13020372010628875,0.3095659875996457,0.0974784272591263
F21,104,mid2,Q1 lowest,12,0.35844155844155845,0.48571428571428577,0.12923299038623715
F21,105,mid1,Q1 lowest,13,0.3631413012324448,0.3631413012324448,0.1836382797805098
F21,105,mid2,Q1 lowest,15,0.37043054427294886,0.37611697806661254,0.16872580197061954
F21,111,mid1,Q1 lowest,2,0.0,0.0,0.5082182774490467
F22,2,mid2,Q4 highest,9,0.4876566654006836,0.6133687808583365,0.2629468882853392
F22,4,mid1,Q4 highest,23,0.2497663551401869,0.5060747663551401,0.0842216569132675
F22,4,mid2,Q4 highest,13,0.3408555069046817,0.7126978780734254,0.1292762384314576
F22,5,mid2,Q1 lowest,15,0.39092762487257904,0.39220183486238536,0.13674741079490962
F22,6,mid1,Q4 highest,19,0.03856960408684547,0.48888888888888893,0.1270003539453489
F22,6,mid2,Q4 highest,17,0.12393036293892004,0.5556211271761582,0.16701500985475284
F22,9,mid2,Q4 highest,10,0.4572841726618705,0.5953237410071942,0.14323226670462194
F22,10,mid1,Q4 highest,19,0.2848366378106674,0.4459648142976822,0.09669537190176737
F22,11,mid1,Q4 highest,21,0.16158221302998965,0.2841261633919338,0.07950860827151213
F22,11,mid2,Q4 highest,19,0.23001745200698082,0.5462478184991274,0.08233266022800302
F22,12,mid1,Q4 highest,19,0.023391812865497075,0.07407407407407407,0.0954168234100521
F22,12,mid2,Q4 highest,12,0.43585780525502316,0.5618238021638331,0.15615168331306778
F22,13,mid1,Q1 lowest,17,0.2427341227125942,0.41550053821313243,0.09981623121033648
F22,15,mid2,Q4 highest,11,0.4452554744525547,0.4452554744525547,0.2427054066693898
F22,16,mid1,Q1 lowest,1,0.0,0.0,1.0
F22,18,mid1,Q4 highest,15,0.13523890784982934,0.13523890784982934,0.1050864017053198
F22,18,mid2,Q4 highest,14,0.15540883697308278,0.5068562722194008,0.13791498031576796
F22,22,mid1,Q4 highest,16,0.11699429296131897,0.25396322130627774,0.10706879850610934
F22,22,mid2,Q4 highest,11,0.6527950310559006,0.7459627329192546,0.2618440646579993
F22,23,mid1,Q4 highest,19,0.078018392168496,0.22129931770987837,0.0910040188703603
F22,24,mid1,Q4 highest,11,0.5464765560734851,0.5675897998354813,0.2315878167683901
F22,25,mid1,Q1 lowest,13,0.5042325056433409,0.5042325056433409,0.1753929319385067
F22,25,mid2,Q1 lowest,11,0.4546822113576532,0.47461451673561483,0.1712049351362414
F22,26,mid1,Q1 lowest,16,0.15696278511404563,0.31782713085234093,0.13227115576122406
F22,26,mid2,Q1 lowest,8,0.0,0.4845512506130456,0.20999942032764235
F22,27,mid2,Q4 highest,11,0.5832167832167833,0.5832167832167833,0.3102080514667927
F22,30,mid2,Q1 lowest,9,0.1528888888888889,0.21244444444444446,0.2167853827160494
F22,31,mid2,Q4 highest,17,0.48959445037353255,0.7457310565635005,0.14768573833472481
F22,32,mid1,Q1 lowest,15,0.20667522464698332,0.27086007702182285,0.11537838302509773
F22,32,mid2,Q1 lowest,8,0.049069373942470386,0.20304568527918782,0.15938026975415212
F22,33,mid1,Q1 lowest,23,0.2504539402009442,0.34063672678852436,0.08647767622356803
F22,33,mid2,Q1 lowest,10,0.26627109215649913,0.35508993139254585,0.15873049546168122
F22,34,mid1,Q4 highest,12,0.22674650698602794,0.4491017964071856,0.15547236863598152
F22,36,mid2,Q4 highest,11,0.232502965599051,0.5527876631079478,0.13285883748517202
F22,39,mid1,Q4 highest,15,0.2860759493670886,0.2911392405063291,0.12803153340810766
F22,39,mid2,Q4 highest,14,0.5991066443327749,0.7051926298157454,0.2633799932100479
F22,41,mid1,Q4 highest,19,0.28337874659400547,0.37026945201332123,0.0978820985775278
