feature,n,within_group_rank_corr,top_quartile_minus_bottom_quartile_pct_points
fillb__scored_problems__change,1139,0.06130810559721769,2.331503914367744
parsons__unique_problems__change,1139,0.06117474109300032,1.235895114404558
parsons__scored_problems__change,1139,0.06117474109300032,1.235895114404558
parsons__problems_seen__change,1139,0.06117474109300032,1.235895114404558
fillb__problems_seen__change,1139,0.06074737837994216,2.298121301771409
fillb__unique_problems__change,1139,0.06074737837994216,2.298121301771409
parsons__avg_event_score__change,1139,0.060602275140140396,1.453574099456457
fillb__mean_first_score__change,1139,0.06050168047477422,1.0907005453265821
learning__scored_problems__change,1140,0.05444600576352793,1.085787228543797
mchoice__scored_events__change,1140,0.05419938978758854,1.9053411719608908
mchoice__total_events__change,1140,0.05419938978758854,1.9053411719608908
all_activity__unique_problems__change,1140,0.053855905754053454,1.1756693159784728
learning__problems_seen__change,1140,0.05370370577452901,1.159270812559372
parsons__mean_events_per_problem__change,1139,0.0523766402036939,1.6321310595486125
learning__mean_events_per_problem__change,1140,0.051798126777969015,2.194187076830361
activecode__active_days__change,1139,0.0471841690354662,0.9385370366550454
clickable__problems_seen__change,1102,0.04602184480432207,0.7632822089369053
clickable__unique_problems__change,1102,0.04602184480432207,0.7632822089369053
activecode__avg_event_score__change,1138,0.04594046140948721,1.8287469898840518
conceptcheck__unique_problems__change,1140,0.04515020830353118,1.1970287418969585
shortanswer__unique_problems__change,1119,0.044573887646000815,2.4450857972152225
activecode__unique_problems__change,1139,0.04129340123806279,1.0784130964537706
activecode__scored_problems__change,1139,0.04129340123806279,1.0784130964537706
activecode__problems_seen__change,1139,0.04129340123806279,1.0784130964537706
fillb__mean_best_score__change,1139,0.04002929055661576,0.8916256974980854
mchoice__mean_events_per_problem__change,1140,0.035418591945901856,1.3479350670208312
fillb__total_events__change,1139,0.034211495766182966,0.9408170438094245
fillb__scored_events__change,1139,0.03386396937464734,0.8426690751473895
learning__mean_best_score__change,1140,0.03304587977447297,1.000743790559607
learning__mean_last_score__change,1140,0.03159841137774196,1.1112450650846144
shortanswer__active_days__change,1119,0.031519771631252205,0.43278639543476594
parsons__mean_first_score__change,1139,0.02869205303036981,1.1197298318211866
activecode__mean_first_score__change,1139,0.02536517863931031,1.0778412163455817
dragndrop__mean_events_per_problem__change,1134,0.021132260912850757,0.5130797374317506
clickable__scored_problems__change,1102,0.019294836001276593,-1.3033462074729822
fillb__mean_last_score__change,1139,0.017421844792396085,0.12191184668968269
clickable__mean_score_gain__change,1066,0.014693642289326816,0.46359018601778246
clickable__mean_best_score__change,1066,0.013667144328974142,-0.33022021199829954
clickable__mean_last_score__change,1066,0.012887598183068543,0.31117977198552804
clickable__avg_event_score__change,1066,0.011476458575415934,-0.13480407975814224
fillb__mean_events_per_problem__change,1139,0.010233696091709583,-0.21294264782197203
shortanswer__total_events__change,1119,0.010042180855630562,-0.465115774487483
clickable__mean_events_per_problem__change,1102,0.007219496776019705,0.48937267753957236
dragndrop__avg_event_score__change,1134,0.006341107721851515,0.826374100871444
activecode__mean_events_per_problem__change,1139,0.004555074055777566,0.5791055593963232
parsons__mean_score_gain__change,1139,0.0027487644959080138,-0.41109538780053345
clickable__mean_first_score__change,1066,-0.006386527260477677,-0.1341446885251365
activecode__scored_events__change,1139,-0.008773280629797571,-0.6269179133107734
dragndrop__mean_first_score__change,1134,-0.009776372634211834,1.110561619129613
dragndrop__mean_score_gain__change,1134,-0.011040440913198443,-2.182625147592506
activecode__total_events__change,1139,-0.013447105356953955,-0.6429297573810606
mchoice__mean_last_score__change,1140,-0.016271663968018907,-1.0829034188578968
dragndrop__mean_best_score__change,1134,-0.017028984732010356,0.18188640217675012
mchoice__mean_best_score__change,1140,-0.017670713143090187,-0.5419261568591658
dragndrop__mean_last_score__change,1134,-0.024560722710060053,0.20874047543932495
learning__mean_score_gain__change,1140,-0.024660861693007716,-0.03434021870755988
fillb__mean_score_gain__change,1139,-0.045935333214900356,-0.8691137667830384
