semester_raw,anon_student_id,midterm,exam_start,score_pct,timed_practice_starts,timed_practice_finishes,scored_practice_attempts,best_practice_direct_score_pct,latest_practice_direct_score_pct,median_practice_direct_items,did_timed_practice,finished_timed_practice,practice_group,cohort,exam_score_rank_pct,practice_score_rank_pct,practice_quality_band
F21,33,mid1,2021-10-06 17:00:34.000000,84.13793103448275,0,0,0,,,,False,False,No timed practice,F21_mid1,61.165048543689316,,
F21,33,mid2,2021-11-03 17:00:30.000000,56.53846153846154,0,0,0,,,,False,False,No timed practice,F21_mid2,23.52941176470588,,
F21,34,mid1,2021-10-06 17:00:21.000000,93.10344827586206,1,1,1,88.07692307692308,88.07692307692308,26.0,True,True,Finished timed practice,F21_mid1,97.57281553398059,70.17543859649122,Middle half
F21,34,mid2,2021-11-03 17:00:18.000000,88.0,1,0,0,,,,True,False,Started only,F21_mid2,99.01960784313727,,
F21,35,mid1,2021-10-06 16:58:28.000000,86.20689655172413,1,1,1,63.846153846153854,63.846153846153854,26.0,True,True,Finished timed practice,F21_mid1,71.84466019417476,12.280701754385964,Bottom quartile
F21,35,mid2,2021-11-03 16:58:20.000000,80.0,1,1,1,73.52941176470588,73.52941176470588,34.0,True,True,Finished timed practice,F21_mid2,89.70588235294117,34.48275862068966,Middle half
F21,36,mid1,2021-10-06 16:58:53.000000,60.775862068965516,0,0,0,,,,False,False,No timed practice,F21_mid1,14.563106796116504,,
F21,36,mid2,2021-11-03 16:58:45.000000,50.8,0,0,0,,,,False,False,No timed practice,F21_mid2,12.745098039215685,,
F21,37,mid1,2021-10-06 16:57:46.000000,86.20689655172413,0,0,0,,,,False,False,No timed practice,F21_mid1,71.84466019417476,,
F21,37,mid2,2021-11-03 16:58:24.000000,58.8,0,0,0,,,,False,False,No timed practice,F21_mid2,28.921568627450984,,
F21,38,mid1,2021-10-06 16:59:34.000000,74.5,1,1,1,83.17307692307693,83.17307692307693,26.0,True,True,Finished timed practice,F21_mid1,33.00970873786408,49.122807017543856,Middle half
F21,38,mid2,2021-11-03 16:59:12.000000,61.92307692307693,1,0,0,,,,True,False,Started only,F21_mid2,35.78431372549019,,
F21,39,mid1,2021-10-06 17:00:01.000000,93.10344827586206,1,1,1,83.46153846153845,83.46153846153845,26.0,True,True,Finished timed practice,F21_mid1,97.57281553398059,51.75438596491229,Middle half
F21,39,mid2,2021-11-03 17:00:57.000000,78.8,0,0,0,,,,False,False,No timed practice,F21_mid2,86.27450980392157,,
F21,40,mid1,2021-10-06 17:00:09.000000,86.20689655172413,0,0,0,,,,False,False,No timed practice,F21_mid1,71.84466019417476,,
F21,40,mid2,2021-11-03 17:00:02.000000,75.0,0,0,0,,,,False,False,No timed practice,F21_mid2,75.49019607843137,,
F21,41,mid1,2021-10-06 17:02:15.000000,88.96551724137932,0,0,0,,,,False,False,No timed practice,F21_mid1,81.06796116504854,,
F21,41,mid2,2021-11-03 17:00:42.000000,88.0,0,0,0,,,,False,False,No timed practice,F21_mid2,99.01960784313727,,
F21,42,mid1,2021-10-06 17:00:54.000000,82.75862068965517,1,1,1,92.3076923076923,92.3076923076923,26.0,True,True,Finished timed practice,F21_mid1,54.85436893203883,91.22807017543859,Top quartile
F21,42,mid2,2021-11-03 17:00:53.000000,84.0,1,0,0,,,,True,False,Started only,F21_mid2,94.11764705882352,,
F21,43,mid1,2021-10-06 16:59:35.000000,68.96551724137932,1,1,1,81.53846153846153,81.53846153846153,26.0,True,True,Finished timed practice,F21_mid1,24.271844660194176,42.10526315789473,Middle half
F21,43,mid2,2021-11-03 17:00:04.000000,61.92307692307693,1,1,1,82.82828282828282,82.82828282828282,33.0,True,True,Finished timed practice,F21_mid2,35.78431372549019,62.06896551724138,Middle half
F21,44,mid1,2021-10-06 17:00:41.000000,89.65517241379311,1,1,1,75.0,75.0,26.0,True,True,Finished timed practice,F21_mid1,88.3495145631068,21.052631578947366,Bottom quartile
F21,44,mid2,2021-11-03 17:05:13.000000,73.8,0,0,0,,,,False,False,No timed practice,F21_mid2,69.6078431372549,,
F21,45,mid1,2021-10-06 17:00:45.000000,60.39393939393939,1,0,0,,,,True,False,Started only,F21_mid1,13.592233009708737,,
F21,45,mid2,2021-11-08 00:59:04.000000,73.33333333333334,0,0,0,,,,False,False,No timed practice,F21_mid2,67.64705882352942,,
F21,46,mid1,2021-10-06 17:00:19.000000,74.66666666666666,1,1,1,91.53846153846155,91.53846153846155,26.0,True,True,Finished timed practice,F21_mid1,33.980582524271846,78.94736842105263,Top quartile
F21,46,mid2,2021-11-07 22:23:50.000000,62.96296296296296,1,1,1,90.32258064516128,90.32258064516128,31.0,True,True,Finished timed practice,F21_mid2,43.13725490196079,89.65517241379311,Top quartile
F21,47,mid1,2021-10-06 17:01:32.000000,84.13793103448275,1,0,0,,,,True,False,Started only,F21_mid1,61.165048543689316,,
F21,47,mid2,2021-11-03 16:59:17.000000,80.0,1,0,0,,,,True,False,Started only,F21_mid2,89.70588235294117,,
F21,48,mid1,2021-10-06 17:00:09.000000,73.79310344827586,0,0,0,,,,False,False,No timed practice,F21_mid1,30.097087378640776,,
F21,48,mid2,2021-11-03 17:00:01.000000,66.8,1,1,1,50.0,50.0,32.0,True,True,Finished timed practice,F21_mid2,52.450980392156865,6.896551724137931,Bottom quartile
F21,49,mid1,2021-10-06 17:00:39.000000,58.214285714285715,1,0,0,,,,True,False,Started only,F21_mid1,8.737864077669903,,
F21,49,mid2,2021-11-03 17:05:23.000000,44.0,0,0,0,,,,False,False,No timed practice,F21_mid2,5.88235294117647,,
F21,50,mid1,2021-10-06 17:00:48.000000,89.65517241379311,1,1,1,84.23076923076923,84.23076923076923,26.0,True,True,Finished timed practice,F21_mid1,88.3495145631068,57.89473684210527,Middle half
F21,50,mid2,2021-11-03 16:59:29.000000,84.0,1,1,1,79.41176470588235,79.41176470588235,34.0,True,True,Finished timed practice,F21_mid2,94.11764705882352,51.724137931034484,Middle half
F21,51,mid1,2021-10-06 17:13:21.000000,61.44200626959248,0,0,0,,,,False,False,No timed practice,F21_mid1,16.50485436893204,,
F21,51,mid2,2021-11-08 14:14:50.000000,23.076923076923077,0,0,0,,,,False,False,No timed practice,F21_mid2,0.9803921568627451,,
F21,52,mid1,2021-10-06 17:00:05.000000,89.31034482758619,1,1,1,82.6923076923077,82.6923076923077,26.0,True,True,Finished timed practice,F21_mid1,83.49514563106796,47.368421052631575,Middle half
F21,52,mid2,2021-11-03 16:58:51.000000,81.6,0,0,0,,,,False,False,No timed practice,F21_mid2,92.15686274509804,,
