semester_raw,anon_student_id,session_id,midterm,practice_name,practice_direct_items,practice_direct_score_pct
F22,13,1767,mid1,Mid1-Fall22-Practice-Timed-2,26,96.15384615384616
F22,13,1768,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,13,1823,mid2,PI-Practice-Mid-2,16,93.75
F22,14,1929,mid2,PI-Practice-Mid-2,18,55.55555555555556
F22,15,2019,mid1,Mid1-Fall22-Practice-Timed,26,96.15384615384616
F22,15,2015,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,15,2066,mid2,Mid2_Fall22-Practice-Timed | PI-Practice-Mid-2,49,87.75510204081633
F22,15,2067,mid2,Mid2_Fall22-Practice-Timed1.5,33,93.93939393939394
F22,16,2199,mid1,Practice-PI-Mid1-Fall22,20,65.0
F22,17,2380,mid2,PI-Practice-Mid-2,16,75.0
F22,18,2465,mid1,Practice-PI-Mid1-Fall22,20,100.0
F22,19,2593,mid1,Mid1-Fall22-Practice-Timed,26,92.3076923076923
F22,19,2599,mid1,Mid1-Fall22-Practice-Timed-15,26,84.61538461538461
F22,19,2595,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,19,2625,mid2,Mid2_Fall22-Practice-Timed,33,78.78787878787878
F22,19,2617,mid2,PI-Practice-Mid-2,16,81.25
F22,21,2717,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,26,90.76923076923077
F22,21,2716,mid1,Practice-PI-Mid1-Fall22,20,95.0
F22,21,2762,mid2,Mid2_Fall22-Practice-Timed,33,79.0909090909091
F22,21,2758,mid2,PI-Practice-Mid-2,16,81.25
F22,22,2835,mid1,Practice-PI-Mid1-Fall22,20,95.0
F22,22,2869,mid2,PI-Practice-Mid-2,17,52.94117647058824
F22,23,2968,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,26,88.46153846153845
F22,23,2971,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,23,2988,mid2,Mid2_Fall22-Practice-Timed,33,79.5959595959596
F22,23,2989,mid2,PI-Practice-Mid-2,16,87.5
F22,24,3061,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15,29,75.86206896551724
F22,24,3062,mid1,Mid1-Fall22-Practice-Timed-2 | Practice-PI-Mid1-Fall22,46,84.78260869565217
F22,24,3097,mid2,Mid2_Fall22-Practice-Timed | Mid2_Fall22-Practice-Timed1.5 | PI-Practice-Mid-2,49,97.95918367346938
F22,25,3225,mid2,Mid2_Fall22-Practice-Timed | PI-Practice-Mid-2,17,58.82352941176471
F22,25,3230,mid2,Mid2_Fall22-Practice-Timed1.5 | Mid2_Fall22-Practice-Timed2,30,56.666666666666664
F22,26,3371,mid1,Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,35,75.35714285714286
F22,26,3366,mid1,Practice-PI-Mid1-Fall22,20,60.0
F22,27,3487,mid1,Mid1-Fall22-Practice-Timed,26,95.76923076923076
F22,27,3493,mid1,Mid1-Fall22-Practice-Timed-15,25,96.0
F22,27,3488,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,27,3509,mid2,Mid2_Fall22-Practice-Timed,32,72.29166666666667
F22,27,3513,mid2,Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,49,88.3673469387755
F22,29,3638,mid1,Mid1-Fall22-Practice-Timed,25,78.8
F22,29,3635,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,29,3703,mid2,PI-Practice-Mid-2,16,93.75
F22,30,3807,mid1,Practice-PI-Mid1-Fall22,20,40.0
F22,31,3989,mid1,Mid1-Fall22-Practice-Timed,26,92.3076923076923
F22,31,3994,mid1,Practice-PI-Mid1-Fall22,21,80.95238095238095
F22,31,4047,mid2,Mid2_Fall22-Practice-Timed2,33,93.93939393939394
F22,31,4050,mid2,PI-Practice-Mid-2,16,93.75
F22,32,4240,mid1,Mid1-Fall22-Practice-Timed-15,19,68.42105263157895
F22,32,4238,mid1,Mid1-Fall22-Practice-Timed-2 | Practice-PI-Mid1-Fall22,20,60.0
F22,32,4269,mid2,PI-Practice-Mid-2,16,43.75
F22,33,4459,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,26,90.76923076923077
F22,33,4505,mid2,Mid2_Fall22-Practice-Timed | Mid2_Fall22-Practice-Timed1.5 | Mid2_Fall22-Practice-Timed2,31,93.54838709677419
F22,33,4512,mid2,PI-Practice-Mid-2,16,100.0
F22,34,4598,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,22,95.45454545454545
F22,34,4599,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,34,4629,mid2,PI-Practice-Mid-2,16,75.0
F22,35,4709,mid1,Mid1-Fall22-Practice-Timed-15,26,84.42307692307692
F22,35,4708,mid1,Practice-PI-Mid1-Fall22,21,61.904761904761905
F22,35,4746,mid2,Mid2_Fall22-Practice-Timed | PI-Practice-Mid-2,46,94.78260869565219
F22,36,4874,mid1,Mid1-Fall22-Practice-Timed,26,92.3076923076923
F22,36,4869,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,36,4909,mid2,Mid2_Fall22-Practice-Timed,33,96.96969696969697
F22,36,4918,mid2,PI-Practice-Mid-2,16,87.5
F22,37,4995,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-2,26,95.38461538461539
F22,37,4996,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,37,5034,mid2,Mid2_Fall22-Practice-Timed1.5,33,81.81818181818183
F22,37,5035,mid2,PI-Practice-Mid-2,16,100.0
F22,38,5228,mid1,Mid1-Fall22-Practice-Timed,21,83.92857142857143
F22,38,5221,mid1,Practice-PI-Mid1-Fall22,20,95.0
F22,38,5291,mid2,Mid2_Fall22-Practice-Timed,26,92.3076923076923
F22,39,5357,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,39,5384,mid2,Mid2_Fall22-Practice-Timed,33,79.5959595959596
F22,39,5386,mid2,PI-Practice-Mid-2,16,100.0
F22,40,5473,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15,26,76.92307692307693
F22,40,5469,mid1,Practice-PI-Mid1-Fall22,20,70.0
F22,40,5494,mid2,Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,48,60.416666666666664
F22,41,5611,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,41,5651,mid2,Mid2_Fall22-Practice-Timed | PI-Practice-Mid-2,16,87.5
F22,42,5740,mid1,Mid1-Fall22-Practice-Timed,26,87.6923076923077
F22,42,5739,mid1,Practice-PI-Mid1-Fall22,20,100.0
F22,42,5779,mid2,Mid2_Fall22-Practice-Timed,33,87.87878787878788
F22,43,5841,mid1,Practice-PI-Mid1-Fall22,21,85.71428571428571
F22,43,5862,mid2,PI-Practice-Mid-2,16,81.25
F22,44,5965,mid1,Mid1-Fall22-Practice-Timed-15,23,67.82608695652173
F22,44,5969,mid1,Mid1-Fall22-Practice-Timed-2,24,91.66666666666666
F22,44,5964,mid1,Practice-PI-Mid1-Fall22,20,55.00000000000001
F22,45,6104,mid1,Mid1-Fall22-Practice-Timed,26,80.76923076923077
F22,45,6105,mid1,Mid1-Fall22-Practice-Timed-2,26,80.76923076923077
F22,45,6102,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,45,6135,mid2,Mid2_Fall22-Practice-Timed,31,64.51612903225806
F22,45,6136,mid2,Mid2_Fall22-Practice-Timed1.5 | Mid2_Fall22-Practice-Timed2,40,60.0
F22,46,6244,mid1,Mid1-Fall22-Practice-Timed,24,87.5
F22,46,6247,mid1,Mid1-Fall22-Practice-Timed-15,26,95.76923076923076
F22,46,6245,mid1,Practice-PI-Mid1-Fall22,22,95.45454545454545
F22,46,6328,mid2,Mid2_Fall22-Practice-Timed,33,92.92929292929293
F22,46,6327,mid2,Mid2_Fall22-Practice-Timed1.5 | Mid2_Fall22-Practice-Timed2,33,93.93939393939394
F22,46,6324,mid2,PI-Practice-Mid-2,16,68.75
F22,47,6476,mid1,Mid1-Fall22-Practice-Timed,26,88.46153846153845
F22,47,6471,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,47,6503,mid2,Mid2_Fall22-Practice-Timed,33,84.84848484848484
F22,47,6497,mid2,PI-Practice-Mid-2,16,75.0
F22,48,6575,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15,26,63.846153846153854
F22,48,6570,mid1,Practice-PI-Mid1-Fall22,21,80.95238095238095
F22,48,6613,mid2,Mid2-Fall22-Practice-2Time,26,77.59615384615385
F22,48,6622,mid2,Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,112,81.875
F22,49,6813,mid2,PI-Practice-Mid-2,16,100.0
F22,50,6984,mid1,Practice-PI-Mid1-Fall22,20,70.0
F22,51,7196,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15,29,93.10344827586206
F22,51,7198,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,51,7255,mid2,PI-Practice-Mid-2,16,68.75
F22,52,7396,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,52,7439,mid2,PI-Practice-Mid-2,16,50.0
F22,53,7547,mid1,Practice-PI-Mid1-Fall22,20,70.0
F22,54,7715,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-2,36,80.55555555555556
F22,54,7712,mid1,Mid1-Fall22-Practice-Timed-15,21,52.38095238095239
F22,54,7711,mid1,Practice-PI-Mid1-Fall22,20,60.0
F22,54,7757,mid2,Mid2_Fall22-Practice-Timed,26,69.23076923076923
F22,54,7758,mid2,Mid2_Fall22-Practice-Timed2,31,64.51612903225806
F22,54,7759,mid2,PI-Practice-Mid-2,16,62.5
F22,55,7863,mid1,Practice-PI-Mid1-Fall22,20,75.0
F22,55,7913,mid2,PI-Practice-Mid-2,15,86.66666666666667
F22,56,8011,mid1,Practice-PI-Mid1-Fall22,20,70.0
F22,56,8044,mid2,PI-Practice-Mid-2,16,50.0
F22,57,8123,mid1,Mid1-Fall22-Practice-Timed-2 | Practice-PI-Mid1-Fall22,20,80.0
F22,57,8151,mid2,Mid2_Fall22-Practice-Timed1.5 | PI-Practice-Mid-2,32,76.04166666666666
F22,58,8245,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2 | Practice-PI-Mid1-Fall22,45,78.66666666666666
F22,58,8241,mid1,Practice-PI-Mid1-Fall22,20,60.0
F22,59,8340,mid1,Mid1-Fall22-Practice-Timed-2,26,91.92307692307692
F22,59,8337,mid1,Practice-PI-Mid1-Fall22,20,95.0
F22,59,8381,mid2,Mid2_Fall22-Practice-Timed | Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,16,87.5
F22,61,8527,mid1,Mid1-Fall22-Practice-Timed,26,74.23076923076923
F22,61,8533,mid1,Mid1-Fall22-Practice-Timed-2,26,79.61538461538461
F22,61,8529,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,61,8548,mid2,Mid2_Fall22-Practice-Timed1.5 | Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,49,81.22448979591836
F22,62,8634,mid1,Practice-PI-Mid1-Fall22,21,85.71428571428571
F22,62,8663,mid2,Mid2_Fall22-Practice-Timed,32,75.0
F22,62,8659,mid2,PI-Practice-Mid-2,16,87.5
F22,65,8815,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,66,8885,mid2,PI-Practice-Mid-2,16,93.75
