semester_raw,anon_student_id,midterm,semester,normalized_midterm_name,n_items_observed,n_items_scored,score_points,score_pct,exam_start,exam_end,n_sessions,total_exam_minutes,coverage_pct
F22,4,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,27.0,90.0,2022-10-06 14:04:52.138043,2022-10-06 15:08:10.192049,1,63.3009001,96.7741935483871
F22,4,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,24.0,82.75862068965517,2022-11-03 13:59:44.274593,2022-11-03 15:17:23.965046,1,77.66150755,90.625
F22,5,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,23.81818181818182,79.3939393939394,2022-10-06 14:04:36.960991,2022-10-06 15:18:35.375130,1,73.97356898333334,96.7741935483871
F22,5,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,16.0,55.172413793103445,2022-11-03 13:59:37.868830,2022-11-03 15:09:36.748642,1,69.9813302,90.625
F22,6,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,27.727272727272727,92.42424242424242,2022-10-06 14:04:44.018261,2022-10-06 15:08:51.035953,1,64.11696153333334,96.7741935483871
F22,6,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,25.0,86.20689655172413,2022-11-03 14:00:11.791524,2022-11-03 15:16:39.659072,1,76.46445913333334,90.625
F22,7,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,25.0,83.33333333333334,2022-10-06 14:04:42.131891,2022-10-06 15:24:55.049051,1,80.215286,96.7741935483871
F22,7,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,19.0,65.51724137931035,2022-11-03 13:59:57.167231,2022-11-03 15:20:03.237468,1,80.10117061666666,90.625
F22,8,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,26.0,86.66666666666667,2022-10-06 14:30:06.029881,2022-10-06 15:44:06.111384,1,74.00135838333334,96.7741935483871
F22,8,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,20.0,68.96551724137932,2022-11-03 13:59:53.491757,2022-11-03 15:18:48.719649,1,78.92046486666666,90.625
F22,9,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,25.636363636363637,85.45454545454547,2022-10-06 14:04:44.301719,2022-10-06 15:24:05.505931,1,79.35340353333332,96.7741935483871
F22,9,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,23.9,82.41379310344827,2022-11-03 13:59:55.810346,2022-11-03 15:13:54.521670,1,73.97852206666667,90.625
F22,10,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,28.0,93.33333333333333,2022-10-06 14:05:04.198780,2022-10-06 15:19:57.965889,1,74.89611848333334,96.7741935483871
F22,10,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,21.0,72.41379310344827,2022-11-03 13:59:53.876277,2022-11-03 15:19:59.181257,1,80.08841633333333,90.625
F22,11,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,28.0,93.33333333333333,2022-10-06 14:01:44.605608,2022-10-06 15:43:58.251410,1,102.22743003333333,96.7741935483871
F22,11,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,23.0,79.3103448275862,2022-11-03 14:02:47.540646,2022-11-03 15:35:39.247873,1,92.86178711666666,90.625
F22,12,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,28.0,93.33333333333333,2022-10-06 14:04:43.141921,2022-10-06 15:15:03.208127,1,70.33443676666667,96.7741935483871
F22,12,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,24.0,82.75862068965517,2022-11-03 14:00:14.639920,2022-11-03 15:18:22.689542,1,78.13416036666668,90.625
F22,13,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,18.454545454545453,61.51515151515151,2022-10-06 14:05:11.556056,2022-10-06 15:25:49.771852,1,80.63692993333333,96.7741935483871
F22,13,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,17.5,60.3448275862069,2022-11-03 14:00:27.424097,2022-11-03 15:21:20.171153,1,80.8791176,90.625
F22,14,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,22.51818181818182,75.06060606060606,2022-10-06 14:01:42.543694,2022-10-06 15:50:31.652782,1,108.81848480000001,96.7741935483871
F22,14,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,19.9,68.62068965517241,2022-11-03 14:00:00.253348,2022-11-03 16:00:17.707421,1,120.29090121666667,90.625
F22,15,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,26.0,86.66666666666667,2022-10-06 14:04:55.811320,2022-10-06 14:57:45.729515,1,52.83196991666667,96.7741935483871
F22,15,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,22.0,75.86206896551724,2022-11-03 14:00:14.650586,2022-11-03 14:59:37.602627,1,59.38253401666667,90.625
F22,16,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,21.436363636363637,71.45454545454545,2022-10-06 14:05:19.865480,2022-10-06 15:16:50.703111,1,71.51396051666667,96.7741935483871
F22,16,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,21.0,72.41379310344827,2022-11-03 14:00:00.647961,2022-11-03 15:17:52.890700,1,77.87071231666667,90.625
F22,17,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,22.6,75.33333333333334,2022-10-06 14:04:32.836746,2022-10-06 15:22:31.143634,1,77.97178146666667,96.7741935483871
F22,17,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,17.1,58.96551724137932,2022-11-03 14:43:54.857075,2022-11-03 16:03:32.302350,1,79.62408791666667,90.625
F22,18,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,27.51818181818182,91.72727272727273,2022-10-06 14:04:54.219475,2022-10-06 15:04:56.982917,1,60.046057366666666,96.7741935483871
F22,18,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,22.9,78.9655172413793,2022-11-03 13:59:49.841668,2022-11-03 15:07:54.169204,1,68.07212559999999,90.625
F22,19,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,26.0,86.66666666666667,2022-10-06 14:04:48.246285,2022-10-06 15:18:28.355058,1,73.66847955,96.7741935483871
F22,19,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,20.833333333333332,71.83908045977012,2022-11-03 13:59:49.804563,2022-11-03 15:07:44.269159,1,67.90774326666666,90.625
F22,21,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,24.0,80.0,2022-10-06 14:04:47.689287,2022-10-06 15:25:03.468218,1,80.26298218333334,96.7741935483871
F22,21,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,21.0,72.41379310344827,2022-11-03 13:59:56.110753,2022-11-03 15:04:36.060446,1,64.66582821666667,90.625
F22,22,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,26.9,89.66666666666666,2022-10-06 02:27:52.125488,2022-10-06 03:42:03.873955,1,74.19580778333334,96.7741935483871
F22,22,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,22.0,75.86206896551724,2022-11-03 13:59:49.500286,2022-11-03 15:12:50.509740,1,73.01682423333334,90.625
F22,23,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,26.727272727272727,89.0909090909091,2022-10-06 14:08:06.752649,2022-10-06 15:08:31.005020,1,60.404206183333336,96.7741935483871
F22,23,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,20.9,72.06896551724138,2022-11-03 13:59:55.797861,2022-11-03 15:09:52.243397,1,69.94075893333334,90.625
F22,24,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,28.0,93.33333333333333,2022-10-06 14:21:23.716661,2022-10-06 15:47:22.009114,1,85.97154088333333,96.7741935483871
F22,24,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,19.333333333333332,66.66666666666666,2022-11-03 14:05:15.206291,2022-11-03 15:59:39.001182,1,114.39658151666666,90.625
F22,25,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,20.0,66.66666666666666,2022-10-06 14:29:44.747073,2022-10-06 15:45:03.637391,1,75.31483863333332,96.7741935483871
F22,25,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,16.0,55.172413793103445,2022-11-03 14:00:05.572486,2022-11-03 15:02:07.721232,1,62.035812433333334,90.625
F22,26,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,21.01818181818182,70.06060606060606,2022-10-06 14:38:09.184211,2022-10-06 16:21:16.873111,1,103.12814833333333,96.7741935483871
F22,26,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,15.9,54.82758620689655,2022-11-06 21:46:30.024780,2022-11-06 23:43:56.962206,1,117.4489571,90.625
F22,27,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,25.875,86.25,2022-10-06 14:04:44.473264,2022-10-06 15:16:41.227761,1,71.94590828333334,96.7741935483871
F22,27,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,25.0,86.20689655172413,2022-11-03 13:59:46.172615,2022-11-03 15:15:45.779947,1,75.99345553333333,90.625
F22,29,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,25.727272727272727,85.75757575757575,2022-10-06 14:06:17.866803,2022-10-06 14:56:16.885583,1,49.98364633333333,96.7741935483871
F22,29,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,19.0,65.51724137931035,2022-11-03 13:59:53.879189,2022-11-03 15:14:52.031826,1,74.96921061666667,90.625
F22,30,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,22.81818181818182,76.06060606060606,2022-10-06 14:04:50.099757,2022-10-06 15:26:26.325392,1,81.60376058333333,96.7741935483871
F22,30,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,16.6,57.24137931034483,2022-11-03 14:00:00.001679,2022-11-03 15:20:11.476247,1,80.1912428,90.625
F22,31,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,25.0,83.33333333333334,2022-10-06 14:04:39.115443,2022-10-06 15:24:04.942589,1,79.43045243333333,96.7741935483871
F22,31,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,24.7,85.17241379310344,2022-11-03 14:00:00.982606,2022-11-03 15:19:50.818949,1,79.83060571666667,90.625
